72,72,72,139,139,139,139,139,72,72,72,72,72,72,72
72,72,72,139,139,139,139,139,72,72,72,72,72,72,72
72,72,72,139,171,139,139,139,72,72,72,72,72,72,72
72,72,72,139,139,139,139,139,72,72,72,72,72,72,72
72,72,72,139,139,139,139,139,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
